Rk,Player,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Marcus Semien,32,TEX,7.7,162,753,670,122,185,40,4,29,100,14,3,72,110,0.276,0.348,0.478,0.826,126,0.364,131,320,5,5,0,5,1,*4,"AS,MVP-3,SS"
2,Alex Bregman,29,HOU,4.9,161,724,622,103,163,28,4,25,98,3,1,92,87,0.262,0.363,0.441,0.804,122,0.354,124,274,22,8,0,2,1,*5/D,-MVP 22.00
3,Nathaniel Lowe*,27,TEX,2.9,161,724,623,89,163,38,3,17,82,1,0,93,165,0.262,0.36,0.414,0.775,114,0.344,117,258,22,5,0,3,2,*3,GG
4,Steven Kwan*,25,CLE,3.2,158,718,638,93,171,36,7,5,54,21,3,70,75,0.268,0.34,0.37,0.71,97,0.319,97,236,9,3,1,6,2,*7/DH,GG
5,Julio Rodríguez,22,SEA,5.5,155,714,654,102,180,37,2,32,103,37,10,47,175,0.275,0.333,0.485,0.818,130,0.359,133,317,14,11,0,2,6,*8/D,"AS,MVP-4,SS"
6,Eugenio Suárez,31,SEA,2.4,162,694,598,68,139,29,0,22,96,2,1,70,214,0.232,0.323,0.391,0.714,103,0.315,105,234,10,15,0,11,0,*5/D,
7,Bobby Witt Jr.,23,KCR,4.3,158,694,641,97,177,28,11,30,96,49,15,40,121,0.276,0.319,0.495,0.813,118,0.348,114,317,11,4,1,8,1,*6D/H,-MVP 7.00
8,José Ramírez#,30,CLE,4.9,156,691,611,87,172,36,5,24,80,28,6,73,73,0.282,0.356,0.475,0.831,128,0.357,124,290,8,1,0,6,22,*5D,"AS,MVP-10"
9,Adley Rutschman#,25,BAL,4.3,154,687,588,84,163,31,1,20,80,1,2,92,101,0.277,0.374,0.435,0.809,128,0.35,127,256,14,2,0,5,6,*2D/H,"AS,MVP-9,SS"
10,Spencer Torkelson,23,DET,1,159,684,606,88,141,34,1,31,94,3,0,67,171,0.233,0.313,0.446,0.758,107,0.332,108,270,15,6,0,5,1,*3/D,
11,George Springer,33,TOR,2,154,683,613,87,158,25,1,21,72,20,5,60,125,0.258,0.327,0.405,0.732,102,0.327,104,248,20,5,0,3,1,*9D/H8,
12,Vladimir Guerrero Jr.,24,TOR,1.8,156,682,602,78,159,30,0,26,94,5,3,67,100,0.264,0.345,0.444,0.788,116,0.346,120,267,23,9,0,4,5,*3D/H,AS
13,Teoscar Hernández,30,SEA,2.3,160,678,625,70,161,29,2,26,93,7,2,38,211,0.258,0.305,0.435,0.741,108,0.318,106,272,6,8,0,7,2,*9D/H,
14,Kyle Tucker*,26,HOU,5.5,157,674,574,97,163,37,5,29,112,30,5,80,92,0.284,0.369,0.517,0.886,142,0.381,141,297,11,3,0,10,9,*9/DH,"AS,MVP-5,SS"
15,Gleyber Torres,26,NYY,2.9,158,672,596,90,163,28,2,25,68,13,6,67,98,0.273,0.347,0.453,0.8,118,0.344,116,270,19,3,0,6,0,*4D/H,
16,Ty France,28,SEA,0.9,158,665,587,79,147,32,0,12,58,1,0,43,117,0.25,0.337,0.366,0.703,101,0.318,107,215,25,34,0,1,0,*3/H,
17,Rafael Devers*,26,BOS,3.5,153,656,580,90,157,34,0,33,100,5,1,62,126,0.271,0.351,0.5,0.851,126,0.365,126,290,15,11,0,3,10,*5/DH6,"MVP-18,SS"
18,Anthony Santander#,28,BAL,3,153,656,591,81,152,41,1,28,95,5,1,55,152,0.257,0.325,0.472,0.797,121,0.341,119,279,11,6,0,4,1,9D3/H7,
19,Randy Arozarena,28,TBR,3.4,151,654,551,95,140,19,3,23,83,22,10,80,156,0.254,0.364,0.425,0.789,119,0.351,124,234,10,18,0,5,1,*7D/H,AS
20,J.P. Crawford*,28,SEA,5.2,145,638,534,94,142,35,0,19,65,2,0,94,125,0.266,0.38,0.438,0.818,133,0.362,138,234,7,5,3,2,1,*6/H,-MVP 16.00
21,Jeremy Peña,25,HOU,3.9,150,634,577,81,152,32,3,10,52,13,9,43,129,0.263,0.324,0.381,0.705,95,0.315,99,220,11,9,1,1,1,*6,
22,Adolis García,30,TEX,4.5,148,632,555,108,136,29,0,39,107,9,1,65,175,0.245,0.328,0.508,0.836,127,0.36,127,282,12,6,0,6,0,*9/8DH,"AS,MVP-14,GG"
23,Justin Turner,38,BOS,2.1,146,626,558,86,154,31,0,23,96,4,1,51,110,0.276,0.345,0.455,0.8,114,0.35,116,254,10,11,0,6,0,D34/5H,
24,Gunnar Henderson*,22,BAL,6.1,150,622,560,100,143,29,9,28,82,10,3,56,159,0.255,0.325,0.489,0.814,125,0.349,125,274,10,3,0,3,1,56D/H,"MVP-8,ROY-1,SS"
25,Andrew Benintendi*,28,CHW,0.4,151,621,562,72,147,34,2,5,45,13,2,52,89,0.262,0.326,0.356,0.682,88,0.306,87,200,12,3,1,3,5,*7/HD,
26,Andrés Giménez*,24,CLE,5,153,616,557,76,140,27,5,15,62,30,6,32,112,0.251,0.314,0.399,0.712,96,0.318,95,222,10,20,4,3,3,*4/H,GG
27,Andrew Vaughn,25,CHW,1.1,152,615,566,67,146,30,2,21,80,0,0,36,129,0.258,0.314,0.429,0.743,102,0.325,103,243,15,11,0,2,0,*3/DH,
28,MJ Melendez*,24,KCR,-0.4,148,602,533,65,125,29,5,16,56,6,4,62,170,0.235,0.316,0.398,0.713,94,0.315,95,212,4,3,0,4,2,*97D2/H3,
29,Alex Verdugo*,27,BOS,2.7,142,602,546,81,144,37,5,13,54,5,3,45,93,0.264,0.324,0.421,0.745,100,0.324,98,230,11,6,0,5,1,*9/H,
30,Bo Bichette,25,TOR,4.8,135,601,571,69,175,30,3,20,73,5,3,27,115,0.306,0.339,0.475,0.814,122,0.355,126,271,14,2,0,1,0,*6/DH,"AS,MVP-16"
31,Anthony Volpe,22,NYY,3.3,159,601,541,62,113,23,4,21,60,24,5,52,167,0.209,0.283,0.383,0.666,81,0.299,80,207,10,5,1,2,0,*6/H,"ROY-8,GG"
32,Yandy Díaz,31,TBR,5.1,137,600,525,95,173,35,0,22,78,0,1,65,94,0.33,0.41,0.522,0.932,157,0.399,159,274,16,8,0,2,0,*3D/5H,"AS,MVP-6,SS"
33,Shohei Ohtani*,28,LAA,6.1,135,599,497,102,151,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,185,0.435,181,325,9,3,0,3,21,*D1,"AS,MVP-1,SS"
34,Luis Robert Jr.,25,CHW,5.3,145,595,546,90,144,36,1,38,80,20,4,30,172,0.264,0.315,0.542,0.857,130,0.363,128,296,10,12,0,2,5,*8/H,"AS,MVP-12,SS"
35,José Abreu,36,HOU,-0.1,141,594,540,62,128,23,1,18,90,0,1,42,130,0.237,0.296,0.383,0.68,87,0.303,89,207,16,6,0,6,1,*3/D,
36,Whit Merrifield,34,TOR,0.7,145,592,547,66,149,27,0,11,67,26,10,36,101,0.272,0.318,0.382,0.7,93,0.311,93,209,15,3,0,6,2,47/H9,AS
37,Matt Chapman,30,TOR,4.3,140,581,509,66,122,39,2,17,54,4,2,62,165,0.24,0.33,0.424,0.755,107,0.333,110,216,4,8,0,2,1,*5/DH,GG
38,Daulton Varsho*,26,TOR,3.6,158,581,527,65,116,23,3,20,61,16,7,45,135,0.22,0.285,0.389,0.674,84,0.299,86,205,5,4,1,3,0,*78/HD,
39,Carlos Correa,28,MIN,1.3,135,580,514,60,118,29,2,18,65,0,0,59,131,0.23,0.312,0.399,0.711,94,0.312,93,205,30,4,0,3,3,*6,
40,Salvador Perez,33,KCR,0.4,140,580,538,59,137,21,0,23,80,0,0,19,135,0.255,0.292,0.422,0.714,92,0.303,86,227,11,13,0,8,6,2D3,AS
41,Masataka Yoshida*,29,BOS,1.4,140,580,537,71,155,33,3,15,72,8,0,34,81,0.289,0.338,0.445,0.783,109,0.348,112,239,20,7,0,2,0,7D/H,ROY-6
42,Isaac Paredes,24,TBR,4.2,143,571,492,71,123,24,0,31,98,1,0,58,104,0.25,0.352,0.488,0.84,130,0.367,135,240,11,20,0,1,0,*534/HD6,-MVP 18.00
43,Cal Raleigh#,26,SEA,3.4,145,569,513,78,119,23,1,30,75,0,0,54,158,0.232,0.306,0.456,0.762,114,0.331,116,234,6,1,0,1,1,*2HD,-MVP 18.00
44,Austin Hays,27,BAL,2.5,144,566,520,76,143,36,2,16,67,5,1,38,141,0.275,0.325,0.444,0.769,114,0.33,111,231,11,3,0,5,1,*7/89HD,AS
45,DJ LeMahieu,34,NYY,1.3,136,562,497,55,121,22,3,15,44,2,2,60,125,0.243,0.327,0.39,0.718,96,0.315,96,194,14,3,0,2,2,53/4HD,
